"Alexander Taylor","CS-3100"
"Kerry Gonzalez","LANG-3200"
"Steven Rush","CHEM-5000"
"Allison Chavez","ENG-4300"
"Jesse Reed","LANG-3200"
"Michael Fuller","PHYS-4600"
"John Sparks","CS-3100"
"Shawn Bright","ART-4600"
"Amanda Turner","MUS-3100"
"Linda Brown","ENG-4300"
"Kimberly Wang","ENG-4300"
"Michelle Hopkins","LANG-3200"
"James Li","MT-1700"
"Colin Kelley","MED-300"
"Amber Wood","BTECH-3700"
"Barry Morris","MED-300"
"Lori Becker","BTECH-3700"
"Dale Gomez","ART-4600"
"Jennifer Rodriguez","ART-4600"
"Kristina Nelson","PHYS-4600"
"Mr. Thomas Townsend","BTECH-3700"
"Adrian Simon","ENG-4300"
"Ebony Stewart","BIO-5000"
"Carrie Palmer","PHYS-4600"
"Jared Thompson","HIST-4000"
"Jonathan Frank","ART-4600"
"Jonathan Rodriguez","HIST-4000"
"Jake Phillips","MED-300"
"Tammy Taylor","CHEM-5000"
"James Miller","MUS-3100"
"Patricia Collins","CS-3100"
"Lisa Hall","CHEM-5000"
"Elizabeth Hamilton","CS-3100"
"Mr. David Adams","LANG-3200"
"Robert Williams","BTECH-3700"
"Denise Banks","CHEM-5000"
"Richard Peterson","BIO-5000"
"Brandon Hill","PHYS-4600"
"Emily Hudson","MT-1700"
"Timothy Coleman","ENG-4300"
"Michael Fuller","HIST-4000"
"Charles Davis","ENG-4300"
"Tammy Williams MD","ENG-4300"
"Thomas Thompson","LANG-3200"
"Mary Arroyo","BIO-5000"
"Bill Myers","ENG-4300"
"Robert Garcia","CS-3100"
"Laura Armstrong","MT-1700"
"Stephen Myers","MT-1700"
"James Li","ENG-4300"
"Calvin Ramsey","MT-1700"
"Casey Patel","CHEM-5000"
"Clinton Glover","LANG-3200"
"Kevin Cole","HIST-4000"
"Jesse Reed","PHYS-4600"
"Laura Barrera","PHYS-4600"
"Maureen Miller","CHEM-5000"
"Maria Carey","MT-1700"
"Travis Allen","LANG-3200"
"Mary Miller","ENG-4300"
"David Davis","MT-1700"
"Bob Khan","MT-1700"
"Michael Torres","MT-1700"
"Brandon Arellano","MUS-3100"
"Joshua Gregory","ART-4600"
"Samuel Preston","BTECH-3700"
"Meghan Johnson","PHYS-4600"
"Johnny Torres","MED-300"
"James Miller","BTECH-3700"
"Jeffrey Burgess","BTECH-3700"
"Mark Brown","HIST-4000"
"Steven Smith","BIO-5000"
"Nicole Johnson","LANG-3200"
"Charles Lambert","ART-4600"
"Calvin Ramsey","LANG-3200"
"Bradley Pitts","BTECH-3700"
"Melissa Simmons","MUS-3100"
"Timothy Hanson","BIO-5000"
"Melissa Beck","BIO-5000"
"Joshua Moore","MT-1700"
"Mr. Chad Farmer","CHEM-5000"
"Mark Brown","ENG-4300"
"Douglas Ward","MUS-3100"
"Joel Vincent","MED-300"
"Jessica Hart","MT-1700"
"Derek Wilson","PHYS-4600"
"Sherri Williams","PHYS-4600"
"Benjamin Brown","BIO-5000"
"Zachary King","LANG-3200"
"Michael Mann","MED-300"
"Ethan Bryant","BTECH-3700"
"Samuel Fisher","MUS-3100"
"Chase Smith","LANG-3200"
"David Bradley","CS-3100"
"Johnny Torres","LANG-3200"
"Jonathan Rodriguez","ENG-4300"
"Nancy Hall","BIO-5000"
"Donna Wells","CHEM-5000"
"Anthony Nelson","BTECH-3700"
"Nicole Ramos","ART-4600"
"Travis Flores","LANG-3200"
"Brenda Harris","MED-300"
"Carla Ortiz","LANG-3200"
"Daniel Olsen","MUS-3100"
"Vincent Norton","MT-1700"
"Jocelyn Clayton","MT-1700"
"Crystal Alvarez","CS-3100"
"Bailey Pratt","ENG-4300"
"Maria Clark","BIO-5000"
"Raymond Wood","MED-300"
"Roberto Hernandez","CS-3100"
"Jared Steele","ENG-4300"
"Laura Gonzalez","ENG-4300"
"Brian Hernandez","ART-4600"
"Anthony Butler","MT-1700"
"Curtis Rodriguez","CS-3100"
"Andrew Townsend","PHYS-4600"
"Michael Roy","BIO-5000"
"Elizabeth Fox","MED-300"
"Jesse Wyatt","BIO-5000"
"Mark Brown","CHEM-5000"
"Anthony Smith","BTECH-3700"
"Jill Wright","CS-3100"
"David Wells","HIST-4000"
"Victoria Norman","CS-3100"
"Angela Barnes","PHYS-4600"
"Robin Cruz","MUS-3100"
"Amanda Smith","ENG-4300"
"Sheena Smith","CHEM-5000"
"Katie White","HIST-4000"
"Monica Smith","ART-4600"
"Connie Wilkerson","CHEM-5000"
"Ronald Bauer","ART-4600"
"Angela Parrish","ART-4600"
"William Pope","CS-3100"
"Amber Hodges","CHEM-5000"
"Mr. Justin Lopez","CHEM-5000"
"Ryan Glenn","MED-300"
"Taylor Thompson","PHYS-4600"
"Harry Mcintosh","PHYS-4600"
"Debbie Durham","MT-1700"
"James Logan","MT-1700"
"Cameron Ewing","HIST-4000"
"Jessica Silva","CHEM-5000"
"Lisa Garcia","MT-1700"
"Edwin Wilson","MT-1700"
"Arthur Thomas","MT-1700"
"Ruben Moore","CS-3100"
"Kaitlyn Smith","CS-3100"
"Colin Baker","LANG-3200"
"Jonathan Lowe","MED-300"
"Mary Barrett","MT-1700"
"Justin White","ENG-4300"
"Richard Peterson","CS-3100"
"Eric Lopez","CS-3100"
"James Delacruz","MED-300"
"Shannon Marquez","BTECH-3700"
"Charles Johnson","MT-1700"
"Jamie Russell","CS-3100"
"Maria Clark","MUS-3100"
"Carol Robinson","MUS-3100"
"James Stone","CHEM-5000"
"Amber Kramer","MUS-3100"
"Kyle Jones","MT-1700"
"Jody Robinson","BTECH-3700"
"James Sherman","CHEM-5000"
"Andrea Joyce","HIST-4000"
"Sean Carter","HIST-4000"
"Daniel Wyatt","PHYS-4600"
"Melissa Jones","BTECH-3700"
"Dana York","MED-300"
"Andrea Hart","PHYS-4600"
"Heather Green","LANG-3200"
"Nathan Bradley","HIST-4000"
"Carolyn Jones","BTECH-3700"
"Veronica Bright","BIO-5000"
"William Romero","HIST-4000"
"Alexander Brown","MT-1700"
"Michael Prince","PHYS-4600"
"Lisa Flowers","HIST-4000"
"Patricia Gill","ART-4600"
"Andrea Stewart","MUS-3100"
"Scott Chapman","LANG-3200"
"Michelle Hopkins","MUS-3100"
"Brittany Carter","MT-1700"
"Lindsey Larson","BIO-5000"
"Johnny Kim Jr.","ART-4600"
"Mark Wiggins","CHEM-5000"
"Rachel Larsen","MUS-3100"
"William Wilcox","CS-3100"
"Christopher Thomas","LANG-3200"
"Wanda Rice","BTECH-3700"
"Joshua Mathews","CS-3100"
"Melissa Maynard","BIO-5000"
"Gary Williams","MT-1700"
"Michael Williams","LANG-3200"
"Amber Wood","MT-1700"
"Alec Martin","MED-300"
"Marcus Quinn","MT-1700"
"Eric Brown","BTECH-3700"
"Anthony Gray","MT-1700"
"Lindsay Smith MD","MT-1700"
"Brenda Olsen","CHEM-5000"
"Clinton Sims","MUS-3100"
"Elizabeth Figueroa","MED-300"
"Brianna Thomas","MUS-3100"
"Derek Bell","MED-300"
"Russell Cooper IV","PHYS-4600"
"Vanessa Edwards","BTECH-3700"
"Jessica Pruitt","ENG-4300"
"Gregory Mendoza","MUS-3100"
"Mrs. Elizabeth Aguirre","HIST-4000"
"Randy Williams","MT-1700"
"Scott Watts","HIST-4000"
"Justin White","CHEM-5000"
"Douglas Martinez","BIO-5000"
"Taylor Price","LANG-3200"
"Kimberly Cross","BIO-5000"
"Rodney George","CHEM-5000"
"Mary Moreno","ENG-4300"
"Michael Burgess","ENG-4300"
"Robert Bowers","HIST-4000"
"Sara Kent","BIO-5000"
"Jennifer Adams","ART-4600"
"Dean Scott","PHYS-4600"
"Todd Parsons","MT-1700"
"Andrew Clayton","MUS-3100"
"Anne Anderson","HIST-4000"
"Ryan Bowers","BTECH-3700"
"Denise Weiss","BTECH-3700"
"Tiffany Avery","BTECH-3700"
"Justin Lewis","MED-300"
"Matthew Perkins","ENG-4300"
"Rebecca Brown","HIST-4000"
"William Pope","CHEM-5000"
"Rebecca Smith","BIO-5000"
"Craig Norris","CS-3100"
"Edward Sanders","ENG-4300"
"Tara Waters","MED-300"
"Nancy Marshall DVM","BTECH-3700"
"Bruce Reynolds","PHYS-4600"
"Kimberly Roberts","BTECH-3700"
"Nicholas Price","MT-1700"
"Shirley Wallace","MUS-3100"
"Daniel Newton","BIO-5000"
"Jennifer Harris","LANG-3200"
"Richard Peterson","HIST-4000"
"Corey Ball","HIST-4000"
"Connie Moran","BIO-5000"
"Christopher Palmer","MUS-3100"
"Mark Johnson","MED-300"
"Kevin Pope","MT-1700"
"Bob Khan","BIO-5000"
"Amanda Johnson","ART-4600"
"Angela Pierce MD","MUS-3100"
"Todd Orr","MED-300"
"Joel Porter","HIST-4000"
"Mary Mcdaniel","MED-300"
"James Nguyen","PHYS-4600"
"James Watson","ART-4600"
"Martha Davis","BTECH-3700"
"Joseph Shaffer","PHYS-4600"
"Terri Miller","HIST-4000"
"Daniel Thomas","CS-3100"
"Nancy Marshall DVM","CHEM-5000"
"Victoria Velazquez","BIO-5000"
"Jay Turner","MT-1700"
"Michelle Ross","ENG-4300"
"Ann Hoffman","ART-4600"
"Tonya Martinez","BTECH-3700"
"Ashley Baker","CHEM-5000"
"Renee Miller","ENG-4300"
"Craig Sloan","LANG-3200"
"Jacqueline Wolfe","PHYS-4600"
"Jessica Ball","ENG-4300"
"Jason Silva","MED-300"
"Joan Watkins","LANG-3200"
"Lori Becker","BIO-5000"
"Melissa Barnes","BTECH-3700"
"Nancy Flores","PHYS-4600"
"James Robinson","LANG-3200"
"Gail Joseph","MED-300"
"Ryan Bowers","CS-3100"
"Elizabeth Figueroa","MED-300"
"Brian Ryan","ENG-4300"
"Joseph Phillips","MUS-3100"
"Joseph Carlson","BTECH-3700"
"Thomas Robinson","LANG-3200"
"Raymond Taylor","HIST-4000"
"Larry Bolton","MED-300"
"Shawn Jimenez","CHEM-5000"
"Alejandro Levy","PHYS-4600"
"Gail Joseph","MUS-3100"
"Kelly Robertson","CHEM-5000"
"Chloe Navarro","BIO-5000"
"John Allen","MED-300"
"Ruben Wilson DDS","MED-300"
"Susan Oliver","BTECH-3700"
"Denise Banks","MT-1700"
"Ruth Phelps","ART-4600"
"Randy Riley","MED-300"
"Mr. Brian Cunningham","BTECH-3700"
"Catherine Wilson","MT-1700"
"Daniel Reid","LANG-3200"
"David Walker","ENG-4300"
"Nicole Ramos","MED-300"
"John Evans","CS-3100"
"Joanna Mitchell","CHEM-5000"
"Gina Williams","CHEM-5000"
"Dr. Lisa Roach","HIST-4000"
"Dillon Schultz","ART-4600"
"Elizabeth Thomas","CHEM-5000"
"William Santiago","ENG-4300"
"Michael Rivera","MT-1700"
"Emma Rose","BIO-5000"
"David Warren","HIST-4000"
"Scott Baker","ART-4600"
"Kelly Crawford","MUS-3100"
"Douglas Roth","HIST-4000"
"Mark Wiggins","PHYS-4600"
"Ana Wright","CS-3100"
"Nicole Moore","MT-1700"
"Betty Miller","BIO-5000"
"Travis Allen","CS-3100"
"Dwayne Norris","MUS-3100"
"Joseph Wallace","ENG-4300"
"Danny Oconnell","MED-300"
"Ryan Bowers","ENG-4300"
"Paul Sandoval","PHYS-4600"
"Robert Carter","HIST-4000"
"Lindsey Sanchez DVM","LANG-3200"
"Dr. Tracy Williams","MED-300"
"Todd Stewart","ENG-4300"
"Shaun Galloway","HIST-4000"
"Crystal Barr","CHEM-5000"
"Anthony Butler","BIO-5000"
"Melissa Maynard","LANG-3200"
"Penny Cummings","ENG-4300"
"Stephen Phillips","BIO-5000"
"Linda Jackson","MUS-3100"
"Patty Craig","MT-1700"
"Amber Perez","LANG-3200"
"Rebecca Davis","MUS-3100"
"Phillip Calderon","ENG-4300"
"Alejandro Levy","CHEM-5000"
"Sherri Williams","HIST-4000"
"Ashley Olson","ART-4600"
"Jeffrey Webb","ENG-4300"
"Mr. Kyle Duncan","MUS-3100"
"Brenda Cunningham","CS-3100"
"Brianna Ramirez","MUS-3100"
"Erik Williams","BTECH-3700"
"Karen Golden","BIO-5000"
"Stephanie Gardner","LANG-3200"
"Nicholas Alexander","PHYS-4600"
"Ryan Green","MT-1700"
"Benjamin Morrison","LANG-3200"
"Jay Turner","CS-3100"
"Sarah Taylor","BIO-5000"
"Mary Walker","ART-4600"
"Nathan Bradley","CHEM-5000"
"Kristen Smith","MUS-3100"
"James Dickson","MUS-3100"
"Billy Stone","HIST-4000"
"Jack Romero","CHEM-5000"
"James Yoder","CHEM-5000"
"Jonathan Fuller","LANG-3200"
"Nancy Velasquez","PHYS-4600"
"Patrick Andrews","ENG-4300"
"Ashley Reynolds","PHYS-4600"
"Blake Singleton","MUS-3100"
"Michele Lyons","ART-4600"
"Suzanne Guerrero","ENG-4300"
"Vanessa Sanchez","MUS-3100"
"Mr. Joseph Walsh","BTECH-3700"
"Lindsey Hall","PHYS-4600"
"Brandon Williams","HIST-4000"
"Kaitlyn Smith","BIO-5000"
"Alexander Martin","CHEM-5000"
"Natalie Sexton","CS-3100"
"Kaitlyn Bell","MUS-3100"
"Devin Hurst","MUS-3100"
"Melissa Stewart","LANG-3200"
"Kimberly Baldwin","CS-3100"
"Miranda Sharp","PHYS-4600"
"William Campbell","PHYS-4600"
"Kaitlyn Bell","CHEM-5000"
"Taylor Thompson","ENG-4300"
"Barry Jones","ENG-4300"
"Jade Byrd","CHEM-5000"
"Joshua Smith","BIO-5000"
"Angela Pierce MD","HIST-4000"
"Gregory Hernandez","HIST-4000"
"Chase Smith","ENG-4300"
"John Evans","LANG-3200"
"Steven Davis","ART-4600"
"Derek Ellis","MED-300"
"Christine Peters","MED-300"
"Jake Phillips","PHYS-4600"
"Gary Smith","CS-3100"
"Jonathan Nicholson","MED-300"
"Michelle Richards","ENG-4300"
"Rhonda Wade","MUS-3100"
"Daniel Gregory","CS-3100"
"Kevin Ramos","BTECH-3700"
"Jay Mcmillan","ENG-4300"
"Amber Lane","ART-4600"
"Heather Bernard","LANG-3200"
"Roy Drake","BTECH-3700"
"Eric Lopez","PHYS-4600"
"David Simmons","LANG-3200"
"Patricia Gill","MT-1700"
"Robert Sparks","PHYS-4600"
"Sarah Rivera","CHEM-5000"
"Russell Todd","HIST-4000"
"Heather Ellison","CHEM-5000"
"Jennifer Thomas","ENG-4300"
"Victoria Norman","CHEM-5000"
"Rhonda Adams","MUS-3100"
"Benjamin Perez","ENG-4300"
"Alfred Dixon","MT-1700"
"Maureen Miller","LANG-3200"
"Heather Gross","LANG-3200"
"Rick Fernandez","BIO-5000"
"Nancy Weiss","CS-3100"
"Stephen Phillips","MT-1700"
"Michael Brown","HIST-4000"
"Deborah Knox","MUS-3100"
"Kimberly Henderson","ART-4600"
"William Howell","BTECH-3700"
"Andrea Chan MD","BIO-5000"
"Nathan Wagner","ENG-4300"
"Paula Herrera MD","ENG-4300"
"Dorothy Butler","MUS-3100"
"Kristina Flynn","LANG-3200"
"Gregg Aguilar","ART-4600"
"Anthony Smith","HIST-4000"
"Kaitlyn Bell","MT-1700"
"Tina Stewart","CS-3100"
"Curtis Alvarado","ENG-4300"
"Ashley Casey","HIST-4000"
"Whitney Ward","ART-4600"
"Daniel Gregory","MED-300"
"Katrina Morris","LANG-3200"
"Emily Hudson","BIO-5000"
"Anthony Parker","PHYS-4600"
"Randy Tanner","MED-300"
"Angel Charles","BTECH-3700"
"Karl Miller","MUS-3100"
"Linda Lewis","LANG-3200"
"Michael Torres","LANG-3200"
"Bradley Monroe","CHEM-5000"
"Lindsay Johnson","MT-1700"
"Richard Elliott","ART-4600"
"Jennifer Allen","MED-300"
"Jessica Sexton","ART-4600"
"Michael Burgess","ART-4600"
"Richard Combs","LANG-3200"
"Dr. Tracy Williams","LANG-3200"
"Brooke Knight","HIST-4000"
"Michael Maldonado MD","BIO-5000"
"Ashley Baker","BTECH-3700"
"Anthony Gallegos","ENG-4300"
"Paige Jackson","CS-3100"
"Tara Martin","MED-300"
"Christopher Wilson","CS-3100"
"Patrick Allen","ENG-4300"
"Lindsay Goodwin","BIO-5000"
"Glenn Kelley","ART-4600"
"Sherry Martin","PHYS-4600"
"Tami Fuentes","BTECH-3700"
"Juan Brooks","ENG-4300"
"Patricia Davis","BIO-5000"
"Michael Fuller","MUS-3100"
"Pam Hudson","MED-300"
"Heidi Rodriguez","PHYS-4600"
"Rachel Garcia","LANG-3200"
"Leslie Meyer","BIO-5000"
"Alexander Farmer","CHEM-5000"
"James Curry","BTECH-3700"
"Steven Salas","MT-1700"
"Kimberly Cross","CS-3100"
"Jack Johnson","MT-1700"
"Joshua Allen","PHYS-4600"
"Samuel Ferguson","PHYS-4600"
"Jeffrey Williams","BIO-5000"
"Dana Chan","LANG-3200"
"Leslie Meyer","ENG-4300"
"Bridget Bridges","BTECH-3700"
"Lauren Harris","MUS-3100"
"Kenneth Abbott","CHEM-5000"
"Hunter Roach","CHEM-5000"
"Patricia Christian","CS-3100"
"Julie Alvarez","ART-4600"
"Anthony Parker","ART-4600"
"Elizabeth Carter","MED-300"
"Jeremy Griffin","ENG-4300"
"Rachel Hill","CS-3100"
"Jennifer Garza","ART-4600"
"Mr. James Robinson","CHEM-5000"
"Andre Young","BIO-5000"
"Francisco Murphy","BIO-5000"
"Lisa Walter","CHEM-5000"
"Jacob Dawson","HIST-4000"
"Stephanie Simmons","BIO-5000"
"Debra Richardson","MED-300"
"Patrick Rose","PHYS-4600"
"Danielle Armstrong","BTECH-3700"
"David Moyer","MT-1700"
"Michael Brown","ENG-4300"
"Joseph Miller","ENG-4300"
"Charles Evans","BTECH-3700"
"Sharon Richardson","ART-4600"
"Samuel Fisher","CHEM-5000"
"Juan Patel","MUS-3100"
"Michael Carr","MED-300"
"Christopher Clark","ART-4600"
"Michelle Richards","CS-3100"
"Arthur Meyer","MED-300"
"Tara Silva","MUS-3100"
"Adrian Simon","CHEM-5000"
"Patrick Lee","PHYS-4600"
"Melissa Rodriguez","MT-1700"
"Nancy Hall","MT-1700"
"Tracy Mathews","PHYS-4600"
"Michael Benjamin","BIO-5000"
"Leah Williams","CHEM-5000"
"Brent Wright","ART-4600"
"Holly Kirby","BIO-5000"
"Mark Perez","BTECH-3700"
"Leslie Collins","ART-4600"
"James Smith","CS-3100"
"Derek Moon","MED-300"
"Timothy Brown","CS-3100"
"Holly Ford","MED-300"
"Charles Graves","ENG-4300"
"Thomas Barr","BTECH-3700"
"Manuel Glover","LANG-3200"
"Corey Ball","HIST-4000"
"Nicholas Evans","ART-4600"
"Erin Davis","MUS-3100"
"Ryan Glenn","ART-4600"
"Jeremy Harper","ENG-4300"
"Christopher Crane","MT-1700"
"James Delacruz","CS-3100"
"Lori Perry","MUS-3100"
"Rhonda Foster","MED-300"
"Thomas Smith","LANG-3200"
"Kayla Morgan","MUS-3100"
"Karen Webster","MED-300"
"Edward Sanders","MUS-3100"
"Ashley Olson","MED-300"
"Richard Curtis","CS-3100"
"Timothy Brown","HIST-4000"
"Jack Romero","HIST-4000"
"Jacqueline Brown","CHEM-5000"
"Jill Cole","MUS-3100"
"Austin Macias","LANG-3200"
"Debbie Durham","ENG-4300"
"Douglas Taylor","PHYS-4600"
"Jonathan Morales","BIO-5000"
"Katherine Mason","BTECH-3700"
"Kenneth Jacobs","CHEM-5000"
"Terri Miller","BTECH-3700"
"Denise Mendez","CHEM-5000"
"Tiffany Ferguson","ART-4600"
"Randy Tanner","MT-1700"
"Ebony Stewart","BIO-5000"
"Melissa Moss","ART-4600"
"Heather Munoz","MUS-3100"
"Jeffrey Thomas","MT-1700"
"Jennifer Li","CHEM-5000"
"Bradley Lopez","BTECH-3700"
"David Warren","CS-3100"
"Alexandra Moran","CHEM-5000"
"Mr. Richard Smith","PHYS-4600"
"Jose Cooper","CHEM-5000"
"Kimberly Roberts","HIST-4000"
"Eric Roberts","BIO-5000"
"Melvin Morgan","LANG-3200"
"Kyle Daniels","BIO-5000"
"Ryan Smith","CHEM-5000"
"Kayla Higgins","MED-300"
"Brandon Martin","MED-300"
"Eric Hess","ART-4600"
"Bethany Wolfe","BTECH-3700"
"Joseph Shaffer","MT-1700"
"Ethan Baker","ENG-4300"
"James Smith","MT-1700"
"Amanda Fields","LANG-3200"
"Sandra Collier","ENG-4300"
"Mary Short","LANG-3200"
"Brandon Patel","ENG-4300"
"Morgan Palmer","MED-300"
"Bruce Reynolds","BIO-5000"
"John Clayton","CS-3100"
"Jill Shaw","CS-3100"
"Paul James Jr.","BTECH-3700"
"Stephanie Watson","CHEM-5000"
"Christopher Wilson","BIO-5000"
"Kevin Ramos","MT-1700"
"Chase Walker","MED-300"
"Donna Peterson","CS-3100"
"Kelly Garza","LANG-3200"
"Glenn Kelley","BIO-5000"
"Christopher Wilson","BTECH-3700"
"Mrs. Maria Cook DDS","ART-4600"
"Stefanie Ward","MT-1700"
"Jessica Bradley","MUS-3100"
"Donald Walls","LANG-3200"
"Jaime Clayton","CHEM-5000"
"Christopher Martin","CHEM-5000"
"Roy Drake","MUS-3100"
"Kelly Garza","MUS-3100"
"Amber Lewis","CS-3100"
"Robert Stone","MT-1700"
"Eric Hernandez","MUS-3100"
"Stephen White","BIO-5000"
"Kimberly Brooks","CHEM-5000"
"Alexis Key","BTECH-3700"
"Glenn Kelley","MED-300"
"Meghan Nelson","ART-4600"
"David Warren","ART-4600"
"Bob Khan","MUS-3100"
"Donald Walls","BTECH-3700"
"Tyler Haynes","PHYS-4600"
"Michael Flores","ENG-4300"
"Scott Chapman","LANG-3200"
"Anthony Smith","ART-4600"
"Michael Terry","LANG-3200"
"Ashley Morales","BIO-5000"
"Mary Smith","LANG-3200"
"Carol Noble","MED-300"
"Christian Johnson","ART-4600"
"Alexander Taylor","MED-300"
"Shannon Marquez","HIST-4000"
"Debra Lewis","ART-4600"
"Bryan Lane","BTECH-3700"
"Sean Salinas","BTECH-3700"
"Melinda Clements","LANG-3200"
"Erica Crawford","MT-1700"
"Richard Curtis","MUS-3100"
"Sarah Terry","BIO-5000"
"Amber Fisher","PHYS-4600"
"Margaret Roberts","BIO-5000"
"Ethan Bryant","MED-300"
"Alyssa Newman","BIO-5000"
"Kimberly Johnson","BTECH-3700"
"Debra Lewis","PHYS-4600"
"Brian Mullins","PHYS-4600"
"John Evans","ART-4600"
"Kelly Dixon","MED-300"
"Sarah Riddle","MED-300"
"Steven Martinez","BTECH-3700"
"Diana Bird","BIO-5000"
"Michael Martinez","ART-4600"
"Kimberly Cross","CHEM-5000"
"Laura Armstrong","PHYS-4600"
"Larry Kramer","BIO-5000"
"Jeffrey Sharp","PHYS-4600"
"Alexander Martin","MUS-3100"
"Tracy Aguirre","PHYS-4600"
"Anthony Gallegos","CS-3100"
"Sara Kent","CS-3100"
"Kathy Johnston","MED-300"
"Charles Villa","ENG-4300"
"Craig Maldonado","HIST-4000"
"Matthew Richards","LANG-3200"
"Anita Smith","BTECH-3700"
"Hunter Wilson","CS-3100"
"Amanda Edwards","CHEM-5000"
"Natalie Sexton","CS-3100"
"Joshua Allen","LANG-3200"
"Derek English","LANG-3200"
"Christopher Lane","CS-3100"
